Event Objective,Objective Status,Topic,# of events this topic is in (from Topic),Discipline / Role (from Topic),Curriculum Event,23-24 Event,Course Name (from Curriculum Event) (from Topic),Event Date
Identify the buffers involved and to trace the pathway of compensation that would follow. (EO-7406),Active,Buffering Response to an Acid-Base Imbalance (TO-0831),1,Physiology,M1 BSci Multiple Vignettes RMD-575,M1 BSci Acid Base (Multiple Vignettes),M1-04 Vital Gases (RMD-575),2024-01-18 08:30
Describe the mechanisms controlling the release of parathyroid hormone. (EO-4450),Active,Calcium and Phosphate Regulation (TO-0843),1,Physiology,M1 BSci Susan Campbell Team Building Circles,M1 BSci Osteopathic Fracture Team Building Circles (Susan Campbell),M1-06 Movement and Mechanics (RMD-564),2024-03-28 13:00
Describe the control of calcitonin release. (EO-4454),Active,Calcium and Phosphate Regulation (TO-0843),1,Physiology,M1 BSci Susan Campbell Team Building Circles,M1 BSci Osteopathic Fracture Team Building Circles (Susan Campbell),M1-06 Movement and Mechanics (RMD-564),2024-03-28 13:00
Describe the actions of parathyroid hormone. (EO-4451),Active,Calcium and Phosphate Regulation (TO-0843),1,Physiology,M1 BSci Susan Campbell Team Building Circles,M1 BSci Osteopathic Fracture Team Building Circles (Susan Campbell),M1-06 Movement and Mechanics (RMD-564),2024-03-28 13:00
Describe calcitonin’s effects on bone and kidney. (EO-4455),Active,Calcium and Phosphate Regulation (TO-0843),1,Physiology,M1 BSci Susan Campbell Team Building Circles,M1 BSci Osteopathic Fracture Team Building Circles (Susan Campbell),M1-06 Movement and Mechanics (RMD-564),2024-03-28 13:00
Describe the role of the three major effectors that act to bring about calcium homeostasis. (EO-6396),Active,Calcium and Phosphate Regulation (TO-0843),1,Physiology,M1 BSci Susan Campbell Team Building Circles,M1 BSci Osteopathic Fracture Team Building Circles (Susan Campbell),M1-06 Movement and Mechanics (RMD-564),2024-03-28 13:00
Describe the mechanisms of action of Vitamin D. (EO-4453),Active,Calcium and Phosphate Regulation (TO-0843),1,Physiology,M1 BSci Susan Campbell Team Building Circles,M1 BSci Osteopathic Fracture Team Building Circles (Susan Campbell),M1-06 Movement and Mechanics (RMD-564),2024-03-28 13:00
Predict and/or explain the consequences of loss of homeostatic regulation of calcium and phosphate (apply what you know to understand the mechanisms at work in a particular patient). (EO-4457),Active,Calcium and Phosphate Regulation (TO-0843),1,Physiology,M1 BSci Susan Campbell Team Building Circles,M1 BSci Osteopathic Fracture Team Building Circles (Susan Campbell),M1-06 Movement and Mechanics (RMD-564),2024-03-28 13:00
Describe the synthesis of the active form of Vitamin D3. (EO-4452),Active,Calcium and Phosphate Regulation (TO-0843),1,Physiology,M1 BSci Susan Campbell Team Building Circles,M1 BSci Osteopathic Fracture Team Building Circles (Susan Campbell),M1-06 Movement and Mechanics (RMD-564),2024-03-28 13:00
Predict the responses of all three hormones to increases or decreases of plasma calcium concentration. (EO-4456),Active,Calcium and Phosphate Regulation (TO-0843),1,Physiology,M1 BSci Susan Campbell Team Building Circles,M1 BSci Osteopathic Fracture Team Building Circles (Susan Campbell),M1-06 Movement and Mechanics (RMD-564),2024-03-28 13:00
Explain the molecular consequences of the 9;22 translocation including BCR and ABL gene. (EO-0986),Active,Cancer Cytogenetics: Leukemia (TO-1458),1,Genetics,M2 BSci Nguyen Vignettes,M2 BSci Leukemia (Nguyen Vignettes),M2-03 Introduction to Hematology (RMD-576),2023-12-05 08:30
Describe common chromosomal abnormalities in Acute Promyelocytic Leukemia (APL) and Chronic Myelogenous Leukemia (CML). (EO-7982),Active,Cancer Cytogenetics: Leukemia (TO-1458),1,Genetics,M2 BSci Nguyen Vignettes,M2 BSci Leukemia (Nguyen Vignettes),M2-03 Introduction to Hematology (RMD-576),2023-12-05 08:30
Recognize common acquired chromosome translocation seen in Chronic Myelogenous Leukemia and  Acute Lymphocytic Leukemia (ALL). (EO-0985),Active,Cancer Cytogenetics: Leukemia (TO-1458),1,Genetics,M2 BSci Nguyen Vignettes,M2 BSci Leukemia (Nguyen Vignettes),M2-03 Introduction to Hematology (RMD-576),2023-12-05 08:30
"Identify the genes involved in the translocations involving Burkitt’s, Follicular and Mantle cell lymphomas and explain how these translocations change cell growth and proliferation. (EO-5914)",Active,Cancer Cytogenetics: Lymphoma (TO-1457),1,Genetics,M2 BSci Burke Vignettes,M2 BSci Lymphoma (Burke Vignettes),M2-03 Introduction to Hematology (RMD-576),2023-12-08 08:30
"Recognize the specific translocation associated with Burkitt’s lymphoma, Follicular Lymphoma and Mantle cell Lymphoma. (EO-5913)",Active,Cancer Cytogenetics: Lymphoma (TO-1457),1,Genetics,M2 BSci Burke Vignettes,M2 BSci Lymphoma (Burke Vignettes),M2-03 Introduction to Hematology (RMD-576),2023-12-08 08:30
"Differentiate between neoplasm, malignant, benign and metastasis. (EO-1001)",Active,Cancer Genetics and Inherited Disorders (TO-0183),1,Genetics,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
"Discuss the implications of genetic mutations in genes associated with the cell cycle and their implications for cancer, both inherited and sporadic. (EO-6491)",Active,Cancer Genetics and Inherited Disorders (TO-0183),1,Genetics,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
"Recognize the age of onset, gene/chromosome and additional complications seen in patients with inherited retinoblastoma. (EO-1014)",Active,Cancer Genetics and Inherited Disorders (TO-0183),1,Genetics,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
Identify the stage where mistakes in replication are corrected. (EO-1003),Active,Cancer Genetics and Inherited Disorders (TO-0183),1,Genetics,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
Recognize the types of cancer and age of onset in patients with a mutation of the p53 gene (Li Fraumeni). (EO-1012),Active,Cancer Genetics and Inherited Disorders (TO-0183),1,Genetics,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
Identify inherited disorders associated with cell cycle abnormalities​. (EO-5796),Active,Cancer Genetics and Inherited Disorders (TO-0183),1,Genetics,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
Recognize the lifetime risk of cancer in the US. (EO-1000),Active,Cancer Genetics and Inherited Disorders (TO-0183),1,Genetics,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
Summarize the stages of the cell cycle. (EO-1002),Active,Cancer Genetics and Inherited Disorders (TO-0183),1,Genetics,M2 BSci Lily Evans and James Potter,M2 BSci Aging and Health-Part 1 (Lily Evans and James Potter),M2-02 Growth Development and the Life Cycle (RMD-567),2023-10-31 08:30
Describe the enzymes and name the regulatory enzyme of the PPP. (EO-0504),Active,Carbohydrate Metabolism Special Pathways: Pentose Phosphate Pathway (TO-0086),1,Biochemistry,M1 BSci Khan Vignettes,M1 BSci Non-Malignant Skin Vignettes (Khan Vignettes),M1-02 Host Defense & Host Response (RMD-561),2023-09-14 08:30
List the tissues in which the PPP is active. (EO-0506),Active,Carbohydrate Metabolism Special Pathways: Pentose Phosphate Pathway (TO-0086),1,Biochemistry,M1 BSci Khan Vignettes,M1 BSci Non-Malignant Skin Vignettes (Khan Vignettes),M1-02 Host Defense & Host Response (RMD-561),2023-09-14 08:30
Describe the uses of NADPH generated in the PPP. (EO-0505),Active,Carbohydrate Metabolism Special Pathways: Pentose Phosphate Pathway (TO-0086),1,Biochemistry,M1 BSci Khan Vignettes,M1 BSci Non-Malignant Skin Vignettes (Khan Vignettes),M1-02 Host Defense & Host Response (RMD-561),2023-09-14 08:30
List the functions of the pentose phosphate pathway (PPP). (EO-0503),Active,Carbohydrate Metabolism Special Pathways: Pentose Phosphate Pathway (TO-0086),1,Biochemistry,M1 BSci Khan Vignettes,M1 BSci Non-Malignant Skin Vignettes (Khan Vignettes),M1-02 Host Defense & Host Response (RMD-561),2023-09-14 08:30
Describe the function of the polyol pathway in sugar metabolism. (EO-0507),Active,Carbohydrate Metabolism Special Pathways: Polyol Pathway (TO-0087),1,Biochemistry,M1 BSci Gloria Lopez,M1 BSci Diabetes Type 2 (Gloria Lopez),M1-05 Food to Fuel (RMD-563),2024-03-14 13:00
Identify the source of substrates and energy for gluconeogenesis. (EO-0492),Active,Carbohydrate Metabolism: Gluconeogenesis and its Regulation (TO-0084),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
"Describe the importance of gluconeogenesis in adults, newborns and in premature infants. (EO-0489)",Active,Carbohydrate Metabolism: Gluconeogenesis and its Regulation (TO-0084),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
List the steps of gluconeogenesis that are different from that of glycolysis. Define the reason why cells cannot simply reverse glycolysis to generate glucose. (EO-0491),Active,Carbohydrate Metabolism: Gluconeogenesis and its Regulation (TO-0084),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
List the organs that participate in gluconeogenesis. (EO-0490),Active,Carbohydrate Metabolism: Gluconeogenesis and its Regulation (TO-0084),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Describe the mechanisms and the roles of the Cori and alanine cycles. (EO-0493),Active,Carbohydrate Metabolism: Gluconeogenesis and its Regulation (TO-0084),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
List the regulatory sites of gluconeogenesis and the ways that gluconeogenesis is regulated. (EO-0495),Active,Carbohydrate Metabolism: Gluconeogenesis and its Regulation (TO-0084),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Describe the function and localization of glucose 6-phosphatase. (EO-0494),Active,Carbohydrate Metabolism: Gluconeogenesis and its Regulation (TO-0084),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Explain the differences of glycogenolysis in muscle and liver. (EO-0497),Active,Carbohydrate Metabolism: Glycogenolysis and Glycogenesis and Regulations (TO-0085),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Compare the hormonal regulation of glycogenolysis and glycogenesis in liver and muscle. (EO-0502),Active,Carbohydrate Metabolism: Glycogenolysis and Glycogenesis and Regulations (TO-0085),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
"List the steps, enzymes and regulation of glycogenolysis. (EO-0496)",Active,Carbohydrate Metabolism: Glycogenolysis and Glycogenesis and Regulations (TO-0085),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
"Describe the steps, enzymes and regulation of glycogenesis. (EO-0499)",Active,Carbohydrate Metabolism: Glycogenolysis and Glycogenesis and Regulations (TO-0085),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Compare and contrast the regulation of glycogenesis and glycogenolysis. (EO-0500),Active,Carbohydrate Metabolism: Glycogenolysis and Glycogenesis and Regulations (TO-0085),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Compare the function of the branching and debranching enzymes. (EO-0501),Active,Carbohydrate Metabolism: Glycogenolysis and Glycogenesis and Regulations (TO-0085),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Describe the causes and consequences of the different glycogen storage diseases. (EO-0498),Active,Carbohydrate Metabolism: Glycogenolysis and Glycogenesis and Regulations (TO-0085),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Describe the various means by which pyruvate kinase is regulated. (EO-0487),Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Calculate the number of ATPs produced by glucose catabolism under anaerobic and aerobic conditions. (EO-0479),Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
List the regulators of 6-phosphofructo-1-kinase (PFK1) and the ways that they regulate the enzyme. (EO-0485),Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Define how cellular glucose uptake is regulated. (EO-0483),Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Describe the effects of insulin and glucagon on glycolysis and define their target enzymes. (EO-0482),Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Describe the mechanisms and the role of the malate-aspartate and the glycerophosphate shuttles for transferring reducing equivalents into the mitochondria. (EO-0480),Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
"List the exogenous and endogenous sources of glucose; mono-, di- and polysaccharides. (EO-0476)",Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
"Describe the synthesis, elimination and the effect of F2,6-BP. Explain the reason as to why the heart and liver contain different isoenzymes of PFK-1. (EO-0486)",Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
List the regulatory enzymes of glycolysis and define the ways of their regulation. (EO-0481),Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Review the major pathways of glucose metabolism. (EO-0475),Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
Define pyruvate kinase deficiency and its consequences. (EO-0488),Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
List the functions and importance of glycolysis. Explain why certain tissues depend on glycolysis as a major source of ATP. (EO-0477),Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
"Describe the steps of glycolysis in terms of products, enzymes and define the steps where ATP and NADH are produced. Identify the committed step of glycolysis. (EO-0478)",Active,Carbohydrate Metabolism: Glycolysis and its Control (TO-0083),1,Biochemistry,M1 BSci Marie Hernandez,M1 BSci Inborn Errors of Metabolism (Marie Hernandez),M1-05 Food to Fuel (RMD-563),2024-02-15 08:30
